card_id_hash,entry_station_id,entry_time,exit_station_id,exit_time,fare
A3F2B1,BL05,2024-01-15 07:58:32,R09,2024-01-15 08:24:17,35
B7C4D2,R14,2024-01-15 08:02:11,BL17,2024-01-15 08:31:55,40
C1E5F3,G01,2024-01-15 08:10:44,BL14,2024-01-15 08:52:33,45
D9A6B4,BL05,2024-01-15 08:03:22,R09,2024-01-15 08:27:44,35
E2F7C5,R08,2024-01-15 08:15:00,BL16,2024-01-15 08:44:21,38
F4B8D6,BL06,2024-01-15 08:22:55,G12,2024-01-15 08:58:10,42
G5C9E7,G07,2024-01-15 08:05:33,BL15,2024-01-15 08:38:44,40
H1D0F8,BL05,2024-01-15 08:28:11,R09,2024-01-15 08:55:33,35
I3E1A9,R07,2024-01-15 07:55:44,BL13,2024-01-15 08:19:22,33
J6F2B0,BL09,2024-01-15 08:11:00,G14,2024-01-15 08:42:17,37
