train_id,line,station_id,timestamp,crowding_level,crowding_score
BL_0801_01,BL,BL11,2024-01-15 08:14:30,orange,2
BL_0801_01,BL,BL10,2024-01-15 08:11:30,yellow,1
R_0801_01,R,R10,2024-01-15 08:16:00,red,3
R_0801_01,R,R09,2024-01-15 08:19:00,orange,2
G_0801_01,G,G09,2024-01-15 08:12:00,green,0
G_0801_01,G,G14,2024-01-15 08:22:00,yellow,1
BL_0803_01,BL,BL11,2024-01-15 08:34:30,red,3
BL_0803_01,BL,BL10,2024-01-15 08:31:30,orange,2
R_0803_01,R,R10,2024-01-15 08:36:00,red,3
R_0803_01,R,R09,2024-01-15 08:39:00,orange,2
