train_id,line,station_id,arrival_time,departure_time
BL_0801_01,BL,BL05,2024-01-15 07:58:00,2024-01-15 07:58:30
BL_0801_01,BL,BL06,2024-01-15 08:01:00,2024-01-15 08:01:30
BL_0801_01,BL,BL07,2024-01-15 08:03:30,2024-01-15 08:04:00
BL_0801_01,BL,BL08,2024-01-15 08:06:00,2024-01-15 08:06:30
BL_0801_01,BL,BL09,2024-01-15 08:09:00,2024-01-15 08:09:30
BL_0801_01,BL,BL10,2024-01-15 08:11:30,2024-01-15 08:12:00
BL_0801_01,BL,BL11,2024-01-15 08:14:30,2024-01-15 08:15:00
BL_0801_01,BL,BL12,2024-01-15 08:17:00,2024-01-15 08:17:30
BL_0801_01,BL,BL13,2024-01-15 08:20:00,2024-01-15 08:20:30
BL_0801_01,BL,BL14,2024-01-15 08:23:00,2024-01-15 08:23:30
R_0801_01,R,R10,2024-01-15 08:16:00,2024-01-15 08:16:30
R_0801_01,R,R09,2024-01-15 08:19:00,2024-01-15 08:19:30
R_0801_01,R,R08,2024-01-15 08:22:00,2024-01-15 08:22:30
R_0801_01,R,R07,2024-01-15 08:25:00,2024-01-15 08:25:30
G_0801_01,G,G09,2024-01-15 08:12:00,2024-01-15 08:12:30
G_0801_01,G,G10,2024-01-15 08:14:30,2024-01-15 08:15:00
G_0801_01,G,G11,2024-01-15 08:17:00,2024-01-15 08:17:30
G_0801_01,G,G12,2024-01-15 08:19:30,2024-01-15 08:20:00
G_0801_01,G,G14,2024-01-15 08:22:00,2024-01-15 08:22:30
